Timestamp,ROI Index,Frequency (Hz)
17500350,1,5.327007771
17514636,1,4.680974245
17528922,1,5.373479843
17543208,1,5.338005066
17557494,1,5.360462189
17571780,1,5.329272747
17586066,1,5.268215656
17600352,1,5.360183239
17614638,1,5.298748016
17628924,1,5.375712395
17643210,1,5.322832108
17657496,1,5.351249695
17671782,1,5.303624153
17686068,1,5.372950554
17700354,1,5.358214855
17714640,1,4.706053734
17728926,1,5.262448311
17743212,1,5.360744476
17757498,1,5.381242275
17771784,1,5.332175255
17786070,1,5.257285118
17800356,1,5.359465122
17814642,1,5.365060806
17828928,1,5.360045433
17843214,1,5.35296154
17857500,1,5.322636127
17871786,1,5.377857685
17886072,1,4.706016541
17900358,1,5.366214752
17914644,1,4.635498524
17928930,1,5.338970184
17943216,1,5.350123882
17957502,1,5.369263172
17971788,1,5.367074013
17986074,1,5.33569479
18000360,1,5.364192009
18014646,1,5.354569912
18028932,1,5.291482449
18043218,1,5.321669102
18057504,1,5.291915894
18071790,1,5.361356735
18086076,1,5.370486736
18100362,1,5.366045475
18114648,1,5.292998791
18128934,1,5.347852707
18143220,1,5.296166897
18157506,1,5.342408657
18171792,1,5.36029768
18186078,1,5.371399879
18200364,1,5.356758118
18214650,1,5.344172001
18228936,1,5.339076996
18243222,1,5.3361063
18257508,1,5.360888004
18271794,1,5.356737614
18286080,1,5.29939127
18300366,1,5.3658638
18314652,1,5.339095116
18328938,1,4.71165204
18343224,1,5.343684673
18357510,1,5.375329971
18371796,1,5.373196125
18386082,1,5.318387985
18400368,1,5.312526226
18414654,1,5.331325054
18428940,1,5.285767555
18443226,1,5.362922668
18457512,1,5.299830437
18471798,1,5.374806404
18486084,1,5.350348949
18500370,1,5.351769447
18514656,1,4.720123291
18528942,1,5.357158184
18543228,1,5.360472679
18557514,1,5.353822231
18571800,1,5.365643501
18586086,1,5.345398426
18600372,1,5.314168453
18614658,1,4.704423189
18628944,1,4.706849337
18643230,1,4.717588663
18657516,1,5.224477291
18671802,1,5.307885647
18686088,1,5.32543087
18700374,1,5.329441071
18714660,1,5.284873962
18728946,1,5.36834383
18743232,1,5.37355423
18757518,1,5.320118904
18771804,1,5.319610596
18786090,1,4.690720797
18800376,1,5.356836319
18814662,1,4.720494986
18828948,1,5.312363148
18843234,1,5.314427376
18857520,1,5.369655609
18871806,1,4.719411612
18886092,1,5.288772106
18900378,1,5.211227894
18914664,1,5.360170841
18928950,1,5.328964233
18943236,1,5.351891041
18957522,1,5.335309982
18971808,1,5.351316929
18986094,1,5.277282715
19000380,1,5.339776039
19014666,1,5.358061314
19028952,1,5.336186886
19043238,1,5.340731621
19057524,1,5.36494875
19071810,1,5.34856081
19086096,1,5.320864677
19100382,1,4.691949368
19114668,1,5.271700859
19128954,1,5.335194588
19143240,1,4.709369898
19157526,1,5.284441471
19171812,1,5.346112251
19186098,1,4.718457699
19200384,1,5.340975761
19214670,1,5.342684746
19228956,1,5.361125946
19243242,1,5.288087368
19257528,1,5.309556484
19271814,1,5.360212803
19286100,1,5.262465477
19300386,1,5.376150131
19314672,1,5.365958214
19328958,1,5.360916138
19343244,1,5.279995918
19357530,1,4.71030426
19371816,1,5.315986633
19386102,1,5.296275616
19400388,1,5.349941254
19414674,1,5.365108967
19428960,1,5.346446037
19443246,1,5.356446743
19457532,1,4.701188564
19471818,1,5.357768059
19486104,1,5.380970478
19500390,1,5.35936451
19514676,1,4.708435297
19528962,1,5.34160614
19543248,1,5.323984146
19557534,1,5.37023592
19571820,1,5.369940281
19586106,1,5.364620209
19600392,1,4.701039791
19614678,1,5.341736794
19628964,1,5.33988905
19643250,1,5.326683521
19657536,1,5.359228134
19671822,1,5.371990681
19686108,1,5.277782917
19700394,1,5.267146587
19714680,1,4.704923868
19728966,1,4.707690716
19743252,1,5.350762367
19757538,1,5.337925434
19771824,1,5.34722805
19786110,1,5.346772671
19800396,1,5.248026371
19814682,1,5.322081089
19828968,1,5.248941898
19843254,1,5.366490364
19857540,1,5.377507687
19871826,1,5.339670658
19886112,1,5.342559814
19900398,1,5.315159798
19914684,1,5.35332489
19928970,1,5.355692863
19943256,1,5.360185146
19957542,1,5.325190544
19971828,1,5.359303951
19986114,1,5.361354351
20000400,1,5.337584496
20014686,1,5.346289158
20028972,1,5.353019238
20043258,1,4.731442213
20057544,1,5.360956669
20071830,1,5.342130661
20086116,1,5.212078571
20100402,1,5.363841057
